tractid,dmg_wind_total_tract_1971,dmg_wind_total_tract_2021,dmg_wind_total_tract_2071,dmg_wind_total_tract_1971_mlt7,dmg_wind_total_tract_2021_mlt7,dmg_wind_total_tract_2071_mlt7,affected_wind_over5k_tract_1971,affected_wind_over5k_tract_2021,affected_wind_over5k_tract_2071,dmg_wind_total_residential_tract_1971,dmg_wind_total_residential_tract_2021,dmg_wind_total_residential_tract_2071,dmg_wind_total_commercial_tract_1971,dmg_wind_total_commercial_tract_2021,dmg_wind_total_commercial_tract_2071,dmg_wind_total_industrial_tract_1971,dmg_wind_total_industrial_tract_2021,dmg_wind_total_industrial_tract_2071,dmg_wind_total_public_tract_1971,dmg_wind_total_public_tract_2021,dmg_wind_total_public_tract_2071,dmg_cc_wind_total_tract_1971to2021_ratio_mlt,dmg_cc_wind_total_tract_2021to2071_ratio_mlt,dmg_surge_total_tract_1971,dmg_surge_total_tract_2021,dmg_surge_total_tract_2071,dmg_surge_total_tract_1971_mlt7,dmg_surge_total_tract_2021_mlt7,dmg_surge_total_tract_2071_mlt7,affected_surge_over5k_tract_1971,affected_surge_over5k_tract_2021,affected_surge_over5k_tract_2071,dmg_surge_total_residential_tract_1971,dmg_surge_total_residential_tract_2021,dmg_surge_total_residential_tract_2071,dmg_surge_total_commercial_tract_1971,dmg_surge_total_commercial_tract_2021,dmg_surge_total_commercial_tract_2071,dmg_surge_total_industrial_tract_1971,dmg_surge_total_industrial_tract_2021,dmg_surge_total_industrial_tract_2071,dmg_surge_total_public_tract_1971,dmg_surge_total_public_tract_2021,dmg_surge_total_public_tract_2071,dmg_cc_surge_total_tract_1971to2021_ratio_mlt,dmg_cc_surge_total_tract_2021to2071_ratio_mlt
22109000401,6817514.705890022,10138258.610587232,30007525.469460443,1M - 10M,10M - 50M,10M - 50M,352,511,835,4311147.225301071,6381428.012372766,18583540.650255863,2112638.643813295,3056735.9534449587,8455159.867013598,178472.72175273727,285029.7849270683,976522.3823437492,215256.1150229197,415064.8598424397,1992302.5698472336,25 to 49%,100% or more,164043.03780000002,167517.4287,177940.61920000002,1 - 350K,1 - 350K,1 - 350K,2,2,2,56226.631100000006,57919.0996,62996.5229,107816.4067,109598.3291,114944.0963,0,0,0,0,0,0,Low Damage,Low Damage
22071980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,159251.36680000002,163400.7337,176940.7754,1 - 350K,1 - 350K,1 - 350K,6,6,6,145442.4205,145442.4205,145442.4205,13808.9463,17958.313199999997,31498.3549,0,0,0,0,0,0,Low Damage,Low Damage
22097960400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,161083.8145,161083.8145,161083.8145,1 - 350K,1 - 350K,1 - 350K,1,1,1,161083.8145,161083.8145,161083.8145,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22071000606,48507.77227397914,55311.90394505533,75196.32169833644,1 - 350K,1 - 350K,1 - 350K,2,2,4,4435.854784516251,4980.380495313545,7313.917054135505,44071.917489462896,50331.523449741784,67882.40464420094,0,0,0,0,0,0,Low Damage,Low Damage,154666.0334,160964.26080000002,178621.3891,1 - 350K,1 - 350K,1 - 350K,1,1,1,154666.0334,160964.26080000002,178621.3891,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22071000617,414559.11617560574,468071.81955919665,646448.1552251659,350K - 1M,350K - 1M,350K - 1M,23,25,26,414559.11617560574,468071.81955919665,646448.1552251659,0,0,0,0,0,0,0,0,0,0 to 24%,25 to 49%,152051.50710000002,152370.31399999998,153486.1337,1 - 350K,1 - 350K,1 - 350K,1,1,1,152051.50710000002,152370.31399999998,153486.1337,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22023970101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,151187.2637,151281.4346,151469.7853,1 - 350K,1 - 350K,1 - 350K,3,3,3,151187.2637,151281.4346,151469.7853,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22033002400,30675.21851819271,38908.403381896554,78277.26059488286,1 - 350K,1 - 350K,1 - 350K,1,1,9,27171.04372163397,34872.5932770554,71733.41517653181,3504.174796558739,4035.8101048411513,6543.845418351055,0,0,0,0,0,0,Low Damage,Low Damage,149016.0909,149016.0909,149016.0909,1 - 350K,1 - 350K,1 - 350K,1,1,1,149016.0909,149016.0909,149016.0909,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22095070400,6859416.073877392,9368913.770475494,24398799.030046195,1M - 10M,1M - 10M,10M - 50M,489,673,1239,6080092.259072583,8308107.537235945,21884712.047990575,661626.7232496112,880095.9513721087,1845369.5365238928,13627.218042555887,18437.447057892627,39662.23677694823,104069.8735126424,162272.834809547,629055.2087547798,25 to 49%,100% or more,119624.81990000002,126345.4235,926703.5644,1 - 350K,1 - 350K,350K - 1M,2,2,30,119624.81990000002,126345.4235,926703.5644,0,0,0,0,0,0,0,0,0,Low Damage,10.0% or more
22103040801,77412.47006454134,88374.15981481624,134196.13932276977,1 - 350K,1 - 350K,1 - 350K,7,8,13,74822.3548645353,85253.9504942841,128525.193505493,2590.115200006038,3120.2093205321435,5670.945817276772,0,0,0,0,0,0,0 to 24%,50 to 99%,115864.4097,121226.9178,15019392.0015,1 - 350K,1 - 350K,10M - 50M,2,2,348,115864.4097,121226.9178,14132722.4082,0,0,830657.1674,0,0,0,0,0,56012.4259,Low Damage,10.0% or more
22045030304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,111821.5402,112091.5306,112927.4364,1 - 350K,1 - 350K,1 - 350K,4,4,4,111821.5402,112091.5306,112927.4364,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
